City_ID,City,Country,Lat,Lng,Max Temp,current Description,Hotel Name
971,Banda Aceh,ID,5.5577,95.3222,80.92,overcast clouds,Sulthan Hotel International
973,Ducheng,CN,23.2373,111.5317,78.67,overcast clouds,Xinyongguang Hotel
981,Mutsu,JP,41.2894,141.2169,75.99,scattered clouds,Mutsu Park Hotel
985,Tarakan,ID,3.3,117.6333,80.98,broken clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
989,Coahuayana,MX,18.7333,-103.6833,76.48,overcast clouds,El rranchito michuacan de ocampos
991,Porto Santo,PT,33.072,-16.3415,76.91,broken clouds,Hotel Porto Santo & Spa
1007,Tikapur,NP,28.5,81.1333,80.46,broken clouds,BANANA AGRO RESORT
1017,La Tuque,CA,47.4334,-72.7824,81.55,scattered clouds,Gîte aux Trois Pignons
1021,Hannibal,US,39.7084,-91.3585,77.92,clear sky,Country Hearth Inn Hannibal
1031,Dzaoudzi,YT,-12.7887,45.2699,76.89,broken clouds,Le Rocher
1033,Kampot,KH,10.6167,104.1833,82.45,overcast clouds,Two Moons Hotel
1039,Bireun,ID,5.203,96.7009,78.66,broken clouds,Rumah Bp.AR. ISMAIL
1041,Makakilo City,US,21.3469,-158.0858,79.12,light rain,Marriott's Ko Olina Beach Club
1047,Williams Lake,CA,52.1415,-122.1445,77.22,clear sky,Stampeder Motel
1057,Asau,RO,46.4333,26.4,79.72,few clouds,Casa Mika Ciobanus
1059,Richfield,US,44.8833,-93.283,81.25,overcast clouds,Comfort Inn MSP Airport - Mall Of America
1069,San Roque,ES,36.2107,-5.3842,83.23,clear sky,Hotel Guadacorte Park
1071,Corn Island,NI,12.1694,-83.0418,82.53,scattered clouds,Big Fish Guest House
1075,Olinda,BR,-8.0089,-34.8553,76.73,mist,Hotel Albergue de Olinda
1079,Lata,PT,40.1629,-8.3327,81.05,clear sky,Casa Maquia
1083,Catamarca,AR,-28.4696,-65.7852,80.58,few clouds,Amerian Catamarca Park Hotel
1093,Ucluelet,CA,48.9329,-125.5528,78.04,overcast clouds,Black Rock Oceanfront Resort
1095,Fare,PF,-16.7,-151.0167,78.57,scattered clouds,Maitai Lapita Village Huahine
1099,Djambala,CG,-2.5447,14.7533,84.79,overcast clouds,Hotel Ravin D'or
1103,Douentza,ML,14.9951,-2.9517,82.11,overcast clouds,Ogomono Doumbo
1105,Banjar,ID,-8.19,114.9675,80.46,overcast clouds,The Hamsa Resort
1107,Elizabeth City,US,36.2946,-76.2511,82.99,overcast clouds,Hampton Inn Elizabeth City
1113,Eldorado,BR,-23.7869,-54.2836,76.08,overcast clouds,Villa Verde Hotel
1125,Zhuji,CN,29.7188,120.2423,80.51,few clouds,YaoJiang New Century Grand Hotel Zhuji
1129,Cumana,VE,10.4635,-64.1775,82.29,clear sky,Posada Acuarela Los Roques
1137,Garissa,KE,-0.4536,39.6401,79.52,scattered clouds,Sharif Plaza Hotel
1141,Leo,BF,11.1,-2.1,78.87,moderate rain,Hotel Sissilis
1151,Bentonville,US,36.3728,-94.2088,83.57,clear sky,Hilton Garden Inn Bentonville Rogers
1157,Digha,IN,21.6833,87.55,84.78,broken clouds,Khoniker Atithi
1181,Huainan,CN,32.6264,116.9969,77.23,light rain,GME Huainan Tianjiaan District Chaoyang East Road Hotel
1185,Oranjestad,AW,12.524,-70.027,81.16,overcast clouds,Divi Village Golf & Beach Resort
1187,Baghmara,IN,23.795,86.2085,81.43,broken clouds,Shankar tea shop
1195,Shingu,JP,33.7333,135.9833,75.42,broken clouds,Shingu UI Hotel
1199,Mount Pleasant,US,32.7941,-79.8626,79.0,light rain,Best Western Patriots Point
1207,Colares,PT,38.7992,-9.4469,77.99,scattered clouds,Arribas Sintra Hotel
1221,Tabou,CI,4.423,-7.3528,78.17,broken clouds,hotêl doufoulougou
1223,Praia Da Vitoria,PT,38.7333,-27.0667,79.75,clear sky,Hotel Branco I
1227,Shache,CN,38.4167,77.2406,79.9,overcast clouds,Delong Hotel
1231,Bua Yai,TH,15.5855,102.4259,75.97,overcast clouds,Rabiang Mai Resort
1237,Martapura,ID,-3.4167,114.85,75.29,overcast clouds,Montana Hotel Syariah
1243,Pimentel,PE,-6.8367,-79.9342,75.49,clear sky,Casona Del Muelle
1255,Traverse City,US,44.7631,-85.6206,84.31,overcast clouds,Bayshore Resort
