City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
55,Hami,CN,42.8,93.45,85.71,19,36,13.78,scattered clouds
,,,,,,,,,
56,Rikitea,PF,-23.1203,-134.9692,73.83,74,28,17.98,scattered clouds
,,,,,,,,,
57,Hobart,AU,-42.8794,147.3294,54.27,61,40,1.01,scattered clouds
,,,,,,,,,
58,Rawson,AR,-43.3002,-65.1023,73.9,19,53,19.53,broken clouds
,,,,,,,,,
59,Victoria,HK,22.2855,114.1577,83.32,94,100,5.01,moderate rain
,,,,,,,,,
60,La Ronge,CA,55.1001,-105.2842,64.81,51,61,6.35,broken clouds
,,,,,,,,,
61,Kant,IN,27.8,79.8,86.09,71,93,4.7,overcast clouds
,,,,,,,,,
62,Saldanha,ZA,-33.0117,17.9442,56.66,89,25,3.91,scattered clouds
,,,,,,,,,
63,Siavonga,ZM,-16.5382,28.7088,68.83,44,0,1.41,clear sky
,,,,,,,,,
64,Muzhi,RU,65.3667,64.6667,63.5,67,87,7.9,overcast clouds
,,,,,,,,,
65,Asbestovskiy,RU,57.7557,61.3967,64.53,97,49,5.23,scattered clouds
,,,,,,,,,
66,Albany,US,42.6001,-73.9662,80.67,59,34,4.59,scattered clouds
,,,,,,,,,
67,Salinopolis,BR,-0.6136,-47.3561,82.92,73,63,11.25,broken clouds
,,,,,,,,,
68,Norman Wells,CA,65.282,-126.8329,63.23,58,99,6.98,overcast clouds
,,,,,,,,,
69,Black River,JM,18.0264,-77.8487,89.98,47,54,18.88,broken clouds
,,,,,,,,,
70,Sangamner,IN,19.5667,74.2167,75.76,81,100,6.13,overcast clouds
,,,,,,,,,
71,Pangnirtung,CA,66.1451,-65.7125,42.15,80,100,4.18,overcast clouds
,,,,,,,,,
72,Celestun,MX,20.8667,-90.4,87.48,61,1,8.28,clear sky
,,,,,,,,,
73,East London,ZA,-33.0153,27.9116,66.6,85,55,0.49,broken clouds
,,,,,,,,,
74,Nikolskoye,RU,59.7035,30.7861,64.29,74,100,2.44,overcast clouds
,,,,,,,,,
